Date,Close_Ratio_1,Trend_1,Close_Ratio_2,Trend_2,Close_Ratio_4,Trend_4,Close_Ratio_12,Trend_12,Close_Ratio_24,Trend_24
2019-07-01,1.0,1.0,1.05909233453712,1.0,1.06035687686762,2.0,1.0721402922452572,7.0,1.1084933475138592,16.0
2019-08-01,1.0,0.0,0.988115329690432,1.0,1.0355346566725077,1.0,1.049274028438042,6.0,1.0723278800398912,15.0
2019-09-01,1.0,1.0,1.0128370403349998,1.0,1.0364126101168092,2.0,1.074544519058133,7.0,1.0895679643221674,15.0
2019-10-01,1.0,1.0,1.0165825639419674,2.0,1.0320543796249462,3.0,1.096021846317294,8.0,1.1161919445400432,15.0
2019-11-01,1.0,1.0,1.0174849050676416,2.0,1.049811261033953,3.0,1.117971787240796,8.0,1.1439479182398664,15.0
2019-12-01,1.0,1.0,1.012134814328816,2.0,1.044324513311361,4.0,1.121309062864314,9.0,1.159741401918769,15.0
2020-01-01,1.0,1.0,1.0350780633316419,2.0,1.0750704840288863,4.0,1.176695516852116,9.0,1.2322913706137675,15.0
2020-02-01,1.0,0.0,0.9657840270370978,1.0,0.989249444715763,3.0,1.0825959597391277,8.0,1.1411688637255726,15.0
2020-03-01,1.0,0.0,0.9294523861700535,0.0,0.8820208550201487,2.0,0.9405780403182906,7.0,0.9861787860409571,15.0
2020-04-01,1.0,1.0,1.07400048343873,1.0,1.0207396948360552,2.0,1.0792560732841192,7.0,1.1305610805144477,16.0
2020-05-01,1.0,1.0,1.0288956613438511,2.0,1.0825725631118426,2.0,1.119205143409051,8.0,1.183622996048039,16.0
2020-06-01,1.0,0.0,0.994613932273913,1.0,1.0561150247106748,2.0,1.0836806522288869,8.0,1.1590220459492393,15.0
2020-07-01,1.0,1.0,1.0239421552833619,1.0,1.0454147810947363,3.0,1.1178294521484042,8.0,1.2049450846334122,15.0
2020-08-01,1.0,1.0,1.0485123985430347,2.0,1.0968258348063191,3.0,1.1982409633146536,9.0,1.3093748377906722,15.0
2020-09-01,1.0,0.0,0.946974359534049,1.0,0.979676224333226,2.0,1.0613136070056033,8.0,1.1667505233946214,15.0
2020-10-01,1.0,1.0,1.0489902995968032,1.0,1.0445072403632063,3.0,1.1457729586780543,8.0,1.2641984089230711,16.0
2020-11-01,1.0,1.0,1.041318864718129,2.0,1.0859498155096148,3.0,1.211999987658575,8.0,1.3440699627283044,16.0
2020-12-01,1.0,0.0,0.9974776617879162,1.0,1.0612260969856242,2.0,1.1778710664803842,7.0,1.307518709240609,16.0
2021-01-01,1.0,1.0,1.0233748317389373,1.0,1.0536045699408756,3.0,1.2070989860616552,7.0,1.340127829516039,16.0
2021-02-01,1.0,1.0,1.0519340985501984,2.0,1.1032088390320955,3.0,1.290038479920855,8.0,1.4466022974344188,16.0
2021-03-01,1.0,1.0,1.0077384231022823,2.0,1.075575423939041,3.0,1.2503814583854922,9.0,1.4312456667376028,16.0
2021-04-01,1.0,1.0,1.0762466911892967,2.0,1.1543618245669836,4.0,1.3828580492140767,9.0,1.6107874544077332,16.0
2021-05-01,1.0,1.0,1.0002986769163251,2.0,1.0805484964371141,4.0,1.321590434126118,9.0,1.55510860270426,17.0
2021-06-01,1.0,1.0,1.019268460676121,2.0,1.0669016496850405,4.0,1.3082367664955503,10.0,1.55659844815674,18.0
