Date,Price,Open,High,Low,Vol.,Change %,Sorting order
09/23/2016,237,237,238,232,2.33K,0.13%,1428
09/26/2016,236.3,230.2,238,230.2,0.18K,-0.30%,1427
09/27/2016,236,236,236,236,0.00K,-0.13%,1426
09/28/2016,235,236,236,235,1.50K,-0.42%,1425
09/29/2016,235,235,235,235,0.24K,0.00%,1424
09/30/2016,235,235,235,235,1.96K,0.00%,1423
10/03/2016,235,235,235,235,1.33K,0.00%,1422
10/04/2016,235,235,235,235,1.27K,0.00%,1421
10/05/2016,240,240,240,240,1.00K,2.13%,1420
10/06/2016,239.5,235,239.9,235,0.80K,-0.21%,1419
10/07/2016,240,240,240,240,0.00K,0.21%,1418
10/10/2016,239.9,235,239.9,230.1,1.82K,-0.04%,1417
10/14/2016,239.9,239.8,239.9,239.8,0.06K,0.00%,1416
10/17/2016,231.9,231.9,231.9,231.9,0.07K,-3.33%,1415
10/19/2016,239,239,239,239,0.00K,3.06%,1414
10/21/2016,235,235,235,235,3.00K,-1.67%,1413
10/24/2016,239.8,232.3,239.9,232.3,0.85K,2.04%,1412
10/25/2016,235,235,235,235,0.06K,-2.00%,1411
10/26/2016,239,235,239,225,4.59K,1.70%,1410
10/27/2016,230,239,239,230,0.07K,-3.77%,1409
10/28/2016,234.9,239,239,230,1.28K,2.13%,1408
10/31/2016,236.5,236.5,236.5,236.5,0.00K,0.68%,1407
11/01/2016,235,238.9,238.9,235,2.79K,-0.63%,1406
11/03/2016,234.9,230,234.9,230,0.05K,-0.04%,1405
11/04/2016,235,235,235,235,0.05K,0.04%,1404
11/08/2016,230,227,230,227,1.51K,-2.13%,1403
11/09/2016,227,227,227,227,0.38K,-1.30%,1402
11/10/2016,227,227.1,230,227,1.01K,0.00%,1401
11/11/2016,227,230,230,225.1,4.76K,0.00%,1400
11/15/2016,227,235,235,227,0.10K,0.00%,1399
11/16/2016,234.7,227,234.7,227,0.18K,3.39%,1398
11/17/2016,226,228,228,226,1.00K,-3.71%,1397
11/18/2016,223,226.6,226.6,223,0.50K,-1.33%,1396
11/21/2016,232.4,223,233,223,2.30K,4.22%,1395
11/22/2016,232.9,223,232.9,223,0.25K,0.22%,1394
11/23/2016,220,222.2,222.2,220,0.47K,-5.54%,1393
11/24/2016,215,220,225,215,2.73K,-2.27%,1392
11/25/2016,219,213.2,229.9,212,3.21K,1.86%,1391
11/28/2016,215,220,220,215,10.22K,-1.83%,1390
11/29/2016,220,220,225.9,220,0.31K,2.33%,1389
