Date,Price,Open,High,Low,Vol.,Change %,Sorting order
01/06/2014,79.9,79.9,79.9,79.9,0.02K,-1.24%,1409
01/07/2014,84.5,79.9,84.5,79.9,1.20K,5.76%,1408
01/08/2014,84,80,84.5,80,0.30K,-0.59%,1407
01/09/2014,84.4,83,84.4,83,10.30K,0.48%,1406
01/10/2014,84.5,83,84.5,83,0.21K,0.12%,1405
01/13/2014,83.9,77.6,83.9,77.6,0.21K,-0.71%,1404
01/16/2014,84,75,84,75,0.50K,0.12%,1403
01/17/2014,85,83.1,87,83.1,1.10K,1.19%,1402
01/20/2014,83,83,83,76.5,0.19K,-2.35%,1401
01/21/2014,82.4,77.1,82.4,77,0.68K,-0.72%,1400
01/22/2014,83,82.5,83,77.2,0.82K,0.73%,1399
01/23/2014,80.1,80.1,80.1,80.1,,-3.49%,1398
01/24/2014,80,79,80,79,1.03K,-0.12%,1397
01/27/2014,80,79,80,78,0.21K,0.00%,1396
01/28/2014,78.2,78.2,78.2,78.2,,-2.25%,1395
01/29/2014,80,80,80,80,0.10K,2.30%,1394
01/30/2014,78.6,78.6,78.6,78.6,0.27K,-1.75%,1393
01/31/2014,78.6,78.6,78.6,78.6,,0.00%,1392
02/03/2014,78.5,79,79,78.5,0.14K,-0.13%,1391
02/05/2014,78.5,78.5,78.5,78.5,0.71K,0.00%,1390
02/06/2014,77.9,76,77.9,76,0.62K,-0.76%,1389
02/07/2014,78,78,78,78,0.00K,0.13%,1388
02/10/2014,79.5,77.1,79.5,77,0.35K,1.92%,1387
02/11/2014,77.7,77.7,77.7,77.7,,-2.26%,1386
02/12/2014,77.7,77.7,77.7,77.7,,0.00%,1385
02/13/2014,77.7,77.7,77.7,77.7,,0.00%,1384
02/17/2014,79,78,79,78,0.88K,1.67%,1383
02/18/2014,79,78.2,79,78.1,0.36K,0.00%,1382
02/19/2014,80.5,78.1,80.5,78,0.47K,1.90%,1381
02/20/2014,79,79,79,79,0.09K,-1.86%,1380
02/21/2014,79,79,79,79,,0.00%,1379
